epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,150.588,0.98913,2.71443,1.4365,0.60068,0.46227,0.47012,0.31364,1.29724,1.82919,1.57712,0.00997305,0.00332435,0.00997305,0.00332435,0.00997305,0.00332435,0.00997305,0.00332435
2,298.151,0.95173,1.5865,1.38147,0.65265,0.48414,0.51435,0.33245,1.46519,1.96553,1.78512,0.0197753,0.00659177,0.0197753,0.00659177,0.0197753,0.00659177,0.0197753,0.00659177
3,446.492,1.03478,1.49989,1.43876,0.5568,0.27704,0.29384,0.16045,1.79073,3.29414,2.21256,0.0293796,0.00979319,0.0293796,0.00979319,0.0293796,0.00979319,0.0293796,0.00979319
4,595.944,1.03338,1.32285,1.44274,0.70012,0.5282,0.56808,0.35719,1.44136,1.85031,1.76592,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,744.575,0.96256,1.13251,1.38777,0.62781,0.48602,0.54828,0.36931,1.33064,1.86859,1.67153,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,893.227,0.9159,1.03134,1.34881,0.77099,0.61712,0.6818,0.48542,1.16539,1.3399,1.50003,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1045.08,0.88326,0.96498,1.32466,0.71036,0.69515,0.73463,0.53593,1.15039,1.19899,1.46448,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1193.43,0.86531,0.92549,1.31136,0.73451,0.64637,0.70141,0.52487,1.11526,1.18445,1.43308,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1342.1,0.84277,0.88667,1.29356,0.73814,0.70468,0.74151,0.55766,1.083,1.09544,1.41385,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1489.82,0.82601,0.85564,1.28202,0.77202,0.67118,0.72387,0.53973,1.07872,1.20862,1.4174,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1637.9,0.80879,0.8293,1.26751,0.75825,0.72707,0.75767,0.5684,1.03507,0.98267,1.36535,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1787.84,0.79684,0.81059,1.2598,0.78065,0.70917,0.7537,0.5735,1.01687,1.00932,1.34983,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1937.74,0.78808,0.78851,1.2514,0.83292,0.70313,0.77732,0.60417,0.9891,0.95341,1.32657,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2087.57,0.78496,0.77762,1.24769,0.83984,0.77298,0.82047,0.61477,1.0112,0.90784,1.33973,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2234.49,0.76949,0.76348,1.23986,0.80498,0.77217,0.80195,0.62901,0.94904,0.91092,1.29827,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2383.09,0.77114,0.75531,1.23868,0.79558,0.7922,0.8292,0.62511,0.94678,0.84724,1.28989,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2530.17,0.76213,0.74421,1.2332,0.83834,0.78317,0.83079,0.63862,0.94592,0.79725,1.28964,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2676.19,0.75725,0.7364,1.22546,0.84022,0.75367,0.83063,0.64212,0.92965,0.81416,1.27087,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2826.24,0.74905,0.72182,1.2222,0.85566,0.77392,0.85042,0.663,0.91191,0.77204,1.25817,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2975.5,0.74842,0.71663,1.21992,0.85545,0.81052,0.86321,0.67173,0.90238,0.76253,1.25307,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3124.14,0.73749,0.70887,1.21435,0.81816,0.79054,0.83089,0.65438,0.90039,0.77135,1.24659,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3271.66,0.72856,0.69502,1.208,0.8471,0.81656,0.86124,0.67545,0.87516,0.74922,1.23694,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3420.41,0.72777,0.68273,1.20435,0.83298,0.79388,0.84572,0.67435,0.88041,0.77288,1.24156,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3567.92,0.72017,0.67971,1.20275,0.80131,0.82296,0.85944,0.67952,0.87027,0.72053,1.21976,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3718.56,0.71823,0.67572,1.20033,0.8153,0.82566,0.8542,0.675,0.87032,0.7348,1.22969,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3867.09,0.71592,0.66883,1.19795,0.84635,0.8318,0.87337,0.697,0.86377,0.69777,1.21942,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
